Type,Venue Name,Category,City,Place ID,Current Folder,Available Images,Unmapped Folder,Folder Type,Notes
Unmapped Folder,,,,,,,._Lahore_ChIJRSShs5gFGTkRfh9RZ2UNYSM,Google Place ID,Google Place ID folder - needs venue mapping
Unmapped Folder,,,,,,,14th_Street_Pizza_Co._Johar_Town_8293,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,14th_Street_Pizza_Co.___Headquarters,Named,Named folder - review for potential matches
Unmapped Folder,,,,,,,"14th_Street_Pizza_Co.___Khayaban-e-Nishat,_DHA",Named,Named folder - review for potential matches
Unmapped Folder,,,,,,,"14th_Street_Pizza_Co.___Rashid_Minhas_Road,_Gulshan",Named,Named folder - review for potential matches
Unmapped Folder,,,,,,,14th_Street_Pizza_Co.___Shaheed-e-Millat_Road,Named,Named folder - review for potential matches
Unmapped Folder,,,,,,,1_-_A_3_Plaza_Lahore_ChIJieGl5HoFGTkR5QFKGmWmhaY,Google Place ID,Google Place ID folder - needs venue mapping
Unmapped Folder,,,,,,,4_Friends_Reci-p_6781,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,4_Seasons_Food_ÙÙˆØ±_Ø³ÛŒØ²Ù†Ø³_ÙÙˆÚˆ_10560,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,4_Sseason_Foods_&_Biryani_Hub,Named,Named folder - review for potential matches
Unmapped Folder,,,,,,,9SH_RESTAURANT_(NOSH)_9287,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Abaseen_Hotel_4969,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Abdullah_Nihari_and_Sheermal_House_10278,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Afghani_Allu_Paratha_Bolani_Aur_Manto_Dumplings_7789,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Afghan_Grilled_House_5874,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Afghan_Tikka_House_And_Pulao_5688,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Afghan_Wraps_&_Fries_i-10_Markaz,Named,Named folder - review for potential matches
Unmapped Folder,,,,,,,Afridi_Night_4853,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Afridi_Tea_Stall_and_Paratha_House_6415,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Agha_hadi_Juice_10707,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Ahmad_Dahi_Bhalley_Cavalry_Ground_9818,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Ahmed_Hanif_Rajput_Pakwan_&_Sheermal_House,Named,Named folder - review for potential matches
Unmapped Folder,,,,,,,Akbar_Beef_Pulao_4130,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Al-Amna_Plaza_Karachi_ChIJBw6PXGk-sz4R2uT8iKl6dY8,Google Place ID,Google Place ID folder - needs venue mapping
Unmapped Folder,,,,,,,Al-Ayub_Hotel_6148,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Al-Aziz_Restaurant_&_Cold_Corner,Named,Restaurant folder - check for venue matches
Unmapped Folder,,,,,,,Al-Beirut_Lebanese_Cuisine_(Take_Away_only)_6568,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Al-Falah_Cinema_Lahore_ChIJc19Eq1IbGTkRKFEXVYpecO4,Google Place ID,Google Place ID folder - needs venue mapping
Unmapped Folder,,,,,,,Al-Falah_Theatre_Lahore_ChIJfd6WVE0bGTkR0GaseSK8NGU,Google Place ID,Google Place ID folder - needs venue mapping
Unmapped Folder,,,,,,,Al-Farooq_Plaza_1_Islamabad_ChIJyXCdv23q3zgRFDm5wvveXfI,Google Place ID,Google Place ID folder - needs venue mapping
Unmapped Folder,,,,,,,AL-FATAH_Lahore_ChIJF7uhAN0BGTkRs8AED62Umpc,Google Place ID,Google Place ID folder - needs venue mapping
Unmapped Folder,,,,,,,Al-Ghazaal_Chicken_Pulao_&_Kabab,Named,Named folder - review for potential matches
Unmapped Folder,,,,,,,Al-Haaj_Bundoo_Khan's_Ø§ÙŽÙ„Ø­Ø§Ø¬_Ø¨ÙÙ†Ø¯Ùˆ_Ø®Ø§Ù†_8080,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Al-Khyber_Hotel_&_Fast_Food,Named,Hotel folder - check for venue matches
Unmapped Folder,,,,,,,Al-Malik_Centre_Islamabad_ChIJjSejtKK_3zgRwlIwA2OepTQ,Google Place ID,Google Place ID folder - needs venue mapping
Unmapped Folder,,,,,,,Al-Minaal_The_Food_Tree_9064,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Al-Naz_Biryani_Ø§Ù„Ù†Ø§Ø²_Ø¨Ø±ÛŒØ§Ù†ÛŒ_4513,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Al-Noor_Plaza_Islamabad_ChIJ1cngBw_r3zgRJ6RMFF6tA6Q,Google Place ID,Google Place ID folder - needs venue mapping
Unmapped Folder,,,,,,,Al-Saudia_Shawarma_and_Chowmien_5122,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Al-Sheikh_Foods_9710,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Al-Shukar_Hotel_Bagga_Moor_6892,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Albaik_Central_Park_DHA_2_5497,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Albak_Murgh_Pulao_and_Pulao_Kabab_6904,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Ali_Baba_Doner_Kebab_Central_Park_5763,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Ali_Baloch_Hotel._Ø¹Ù„ÛŒ_Ø¨Ù„ÙˆÚ†_ÛÙˆÙ¹Ù„_4966,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Ali_Restaurant_5875,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Ali_waffles_foods_9620,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Allah_Badshah_Lahori_Bhasha_Food_7783,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Allah_Raazi_Nalli_Biryani_8083,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Allah_Wala_Biryani_10587,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,ALLAH_WALA_BIRYANI_Tariq_Road_Branch_10881,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Al_Arab_Mandi_Restaurant_5095,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Al_Bilal_Plaza_6400,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Al_Bustan_Restaurant_10932,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Al_Faisal_Fast_Food_&_Restaurant,Named,Restaurant folder - check for venue matches
Unmapped Folder,,,,,,,Al_Habib_Restaurant_10581,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Al_Haram_Koyla_Karahi_10539,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Al_Jannat_Dehli_Zaiqa_House_Ø§Ù„Ø¬Ù†Øª_Ø¯Ú¾Ù„ÛŒ_Ø°Ø§Ø¦Ù‚Û_ÛØ§Ø¤Ø³_4228,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Al_Kausar_pakwaan_&_Sheermal_House,Named,Named folder - review for potential matches
Unmapped Folder,,,,,,,Al_Khair_Biryani_4177,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Al_Madina_Kaleji_House_4543,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Al_Miraj_Food_Corner_9686,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Al_Muzaffar_Tikka_House_5841,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Al_Naimah_Foods_10788,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Al_Naz_Biryani_And_Pakwan_4507,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Al_Qaisar_Special__Katta_Karahi_&_Bar_B_Q,Named,Named folder - review for potential matches
Unmapped Folder,,,,,,,Al_Raza_Pani_Puri_Shop_4200,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Al_Rehman_Biryani_Kharadar_-_Tower_10377,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Al_Rehman_night_biryani_4915,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Al_Sheikh_BBQ_Township_9587,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,"Ambassador_Hotel,_Lahore-Pakistan._8164",4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Amjad_Sweets_&_Milk_Shop,Named,Named folder - review for potential matches
Unmapped Folder,,,,,,,Amna_Biryani_4441,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Amna_Biryani_and_Pakwan_House_4397,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Amritsari_Sweet_Shop_8794,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Angeethi_-_DHA_4639,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Angeethi_-_Tipu_Sultan_Rd_10857,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Ansari's_Fast_Food_4651,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Arabic_Mandi_and_BBQ_5578,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Arabic_Wraps_&_Fries_-_Hostel_City,Named,Named folder - review for potential matches
Unmapped Folder,,,,,,,ARAB_SHAWARMA_4727,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Arbicana_Alshawarma_F_7_Islamabad_5733,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Archway_cafe_&_Restaurant,Named,Restaurant folder - check for venue matches
Unmapped Folder,,,,,,,Arlo_Burger_Bar_9797,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Aroma_Grill_8470,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Art_&_Framer_Gallery_Lahore_ChIJUfUcGv0FGTkRj55_syWUWAA,Google Place ID,Google Place ID folder - needs venue mapping
Unmapped Folder,,,,,,,AR_fast_food_4912,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Asian_Hot_N_Chinese_Food_10800,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Asian_Wok_Lahore_8914,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Askari_Club_6232,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Astasi_3968,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,AS_Fast_Food_and_Shawarma_Point_7331,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Atif_Bhai_Chips_And_Afghani_Burger_5494,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Atrio_CafÃ©_&_Grill,Named,Named folder - review for potential matches
Unmapped Folder,,,,,,,Aura_Steak_House_9671,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Awami_Hotel_5781,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Awami_Naan_Centre_&_Restaurant,Named,Restaurant folder - check for venue matches
Unmapped Folder,,,,,,,Azeem_abdullah_BarBQ_and_Roll_Point_10005,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Azeem_Khan_special_Balochi_sajji_7445,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,A_7103,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,B4U_Roll_Inn_7247,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Babar_Bhatti_Restaurant_7673,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Babar_Gul_Hotel_7529,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Babar_Khoye_Waly_Murgh_Channy_9229,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Babar_Shawarma_&_juice_corner,Named,Named folder - review for potential matches
Unmapped Folder,,,,,,,Baba_Bakers_&_Sweets,Named,Named folder - review for potential matches
Unmapped Folder,,,,,,,BABA_FARRUKH_BBQ_AND_ROLL_POINT_4297,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Baba_fish_fry_&_grill,Named,Named folder - review for potential matches
Unmapped Folder,,,,,,,Baba_Hotel_under_The_Haji_Yousaf_(Late)_Market_9806,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Baba_Janee_bar.b.q_&_karachi_paratha_roll,Named,Named folder - review for potential matches
Unmapped Folder,,,,,,,Baba_Jee_Nashta_Point_5551,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Baba_Saeen_Ø¨Ø§Ø¨Ø§_Ø³Ø§Ø¦ÛŒÚº_3634,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Baba_Sheikh_Machli_walay_-_Javed_Market_(Ø¨Ø±Ø§Ù†Ú†_1)_8671,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Baba_Tikka_Shop_5878,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Babeâ€™s_Hot_Chicken_7864,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Babu_Bhais_Fish_Fry_4450,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Baghdadi_Restaurant_9211,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Bahria_Dastarkhwan_5200,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Bahria_Food_Court_5757,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Bait_Al_Arab_Mandi_G.T_Road_5643,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Bajaur_shanwari_and_foods_5820,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Balochi_Sajji_&_Fish,Named,Named folder - review for potential matches
Unmapped Folder,,,,,,,Baltit_Wok_5374,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Bam-Bou_Restaurant_10386,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Bamboo_Union_Dha_Phase_5_8743,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Banera_country_club_8524,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,BANGINâ€™_BUNS_-_Smash_Burger_Specialist_5155,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Bannu_Gul_&_Chinese_Restaurant,Named,Restaurant folder - check for venue matches
Unmapped Folder,,,,,,,Bannu_Pulao_9731,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Baoo_Jee_Murgh_Pulao_&_Restaurant,Named,Restaurant folder - check for venue matches
Unmapped Folder,,,,,,,Baoo_Jee_Resturant_6688,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Bao_Jee_Murgh_Pulao_&_Restaurant,Named,Restaurant folder - check for venue matches
Unmapped Folder,,,,,,,BAR-B-Q_Classique_4748,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Baradari_Cafe_9707,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Bar_BQ_Tonight_9236,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Bar_BQ_Tonight_Clifton_10176,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Bar_BQ_Tonight_Gulberg_11094,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Basha_Istanbul_Turkish_Restaurant_5452,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Basic_3947,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Basti_The_Food_Street_5221,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Basti__The_Food_Street,Named,Named folder - review for potential matches
Unmapped Folder,,,,,,,Bawa_Barbecue_(Baba_Khushabi)_5278,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,BBQ_Terrace_Garrison_Club_6616,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,BB_Q_Terrace_-_Engineer_Mess_7304,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Beit_Al_Halab_-_Defence_3854,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Berlin_Foods_6655,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Besteiro_Portuguese_Chicken_9368,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Best_Bakers_&_Sweets,Named,Named folder - review for potential matches
Unmapped Folder,,,,,,,BFC_8107,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Bhai_Bhai_Tikka_Corner_9755,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Bigger_Better_Burger_7592,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Big_Bash_DHA_10650,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,"Big_Bites_Lalkurti,_Rawalpindi_6982",4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Big_Bytz_8818,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Big_B_and_Pizza_6385,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Big_Chef_7292,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Big_M_Restaurant_8308,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Bilal_Cafe_and_Restaurant_7753,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Billy's_-_Daal_Chawal_Addict_4519,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Binge_5227,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Bingos_Pizza_3920,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Bingsu_4243,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Binoria_Restaurant_10431,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Biryani_Centre_4978,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Biryani_Kingdom_9533,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Biryani_King_4906,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Biryani_King_Shadman_Main_Baranch_8323,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Biryani_Master_DHA_8887,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Biryani_Master_Wapda_Town_(_Pia_Road),Named,Named folder - review for potential matches
Unmapped Folder,,,,,,,Biryani_Spot_I-8_7322,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Bismillah_Fast_Food_And_Bbq_10311,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Bismillah_Hotel_6814,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Bismillah_Nashta_&_Kachori,Named,Named folder - review for potential matches
Unmapped Folder,,,,,,,Bismillah_Sweets_and_Restrurant_9100,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Bismillah_Tikka_&_Chargha_House,Named,Named folder - review for potential matches
Unmapped Folder,,,,,,,Bistro_Noir_Islamabad_5446,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,BiÚ‘yani_9608,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Blaster_Chicken_6739,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Bla_Blaa_Islamabad_7406,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,BLA_BLA_6535,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Blend_3184,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,BLT(Beef_Lettuce_Tomato)_Restaurant_5941,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Body_by_Butter_Xpress_9674,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Bombay_Chaat_house_4569,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Bombay_Chowpatty_9001,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Bombay_Koyla_Karhai_10101,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Bonbird_8926,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,BONSAI_PAN_ASIAN_KITCHEN_BY_TANDOORI_5158,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Bon_Appetit_5766,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Bon_Wok_5784,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Boom_Boom_Hot_&_Spicy,Named,Named folder - review for potential matches
Unmapped Folder,,,,,,,Boom_Boom_Roll_&_B.B.Q,Named,Named folder - review for potential matches
Unmapped Folder,,,,,,,Boxpark_Pico_8773,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,BPC_9812,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Bread_'n'_Butter_Bakers_5634,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Brew_&_Chew_cafÃ©,Named,Named folder - review for potential matches
Unmapped Folder,,,,,,,Brew_2297,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,"BRIM_(I-8_Markaz,_Mosaic_Plaza)_5146",4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Brim_Burgers_(_DHA_Phase_6_Raya),Named,Named folder - review for potential matches
Unmapped Folder,,,,,,,Brim_Burgers_12057,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Broadway_Pizza_-_BTK_10287,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Broadway_Pizza_-_Clifton_-2_3941,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Broadway_Pizza_-_Clifton_10026,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Broadway_Pizza_-_DHA_PHASE_8_3911,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Broadway_Pizza_-_Dolmen_Mall_Clifton_3950,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Broadway_Pizza_-_Dolmen_Mall_Hyderi_9928,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Broadway_Pizza_-_Emporium_Mall_Food_Court_8599,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Broadway_Pizza_-_FB_Area_3893,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Broadway_Pizza_-_G11_5143,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Broadway_Pizza_-_G13_5308,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Broadway_Pizza_-_Gulshan_Iqbal_9969,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Broadway_Pizza_-_LuckyOne_Mall_3929,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Broadway_Pizza_-_North_Nazimabad_9972,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Broadway_Pizza_-_RMR_10041,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Broadway_Pizza_-_Shahbaz_commercial_3899,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Broadway_Pizza_-_SMCHS_9975,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Broadway_Pizza_7067,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Broadway_Pizza_Multi_Gardens_7148,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Broast_Hub_6598,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Broast_Town_10737,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Brothers_Afghani_Naan_&_Melma_Dost_chpli_kbab,Named,Named folder - review for potential matches
Unmapped Folder,,,,,,,Builder_Burger_4022,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Bundu_Khan_Restaurant_-_Mall_Road_Lahore_8161,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Bundu_Khan_Restaurant_-_Packages_Mall_8977,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Bundu_Khan_Restaurant_10239,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Bun_Nâ€™_Crust_5344,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Burgers_Network_(BN)_7313,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Burger_Bank_&_Pizza_kitchen,Named,Named folder - review for potential matches
Unmapped Folder,,,,,,,Burger_Fest_DHA_Phase_II_6889,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Burger_Hut_4790,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Burger_Lab_-_Maskan_Gulshan-e-Iqbal_4222,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Burger_Lab_8920,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Burger_Lab_Z-Block_DHA_8197,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Burns_Road_Famous_Babu_Bun_Kabab_-_Husainabad_Branch_10326,4-digit numbered,Numbered folder - potential for venue matching
Unmapped Folder,,,,,,,Butlers_Chocolate_Cafe,Named,Cafe folder - check for venue matches
Unmapped Folder,,,,,,,Butlers_Chocolate_CafÃ©_7205,4-digit numbered,Numbered folder - potential for venue matching
